event,group,pvalue,up_group,qvalue
TNFA_SIGNALING_VIA_NFKB,logdenPD1_def0,0.699591604300389,perPD1_LOW_Def0,1
TNFA_SIGNALING_VIA_NFKB,logdenPD1_def2,0.684765719388232,perPD1_HIGH_Def0,0.9010075255108309
TNFA_SIGNALING_VIA_NFKB,logdenPT_L_def0,0.47900123899421,perPD1_LOW_Def0,0.798335398323684
TNFA_SIGNALING_VIA_NFKB,logdenPT_L_def2,0.5658624203953599,perPD1_HIGH_Def0,0.8691723103086519
TNFA_SIGNALING_VIA_NFKB,logdenPT_L_def4,0.9655370666743409,perPD1_LOW_Def0,0.999304206996271
TNFA_SIGNALING_VIA_NFKB,perPT_L_def0,0.62676454475064,perPD1_LOW_Def0,1
TNFA_SIGNALING_VIA_NFKB,perPT_L_def2,0.7004199778485509,perPD1_LOW_Def0,0.9511886791849521
TNFA_SIGNALING_VIA_NFKB,perPT_L_def4,0.534344453073516,perPD1_LOW_Def0,0.9891865560308909
TNFA_SIGNALING_VIA_NFKB,perpd1_def0,0.9031893540043621,perPD1_LOW_Def0,0.9584262216358629
TNFA_SIGNALING_VIA_NFKB,perpd1_def2,0.976825468688611,perPD1_LOW_Def0,0.976825468688611
TNFA_SIGNALING_VIA_NFKB,perpd1_def4,0.8931092419658829,perPD1_LOW_Def0,0.9644613180185359
HYPOXIA,logdenPD1_def0,0.920311901369707,perPD1_LOW_Def0,1
HYPOXIA,logdenPD1_def2,0.44743244571334706,perPD1_HIGH_Def0,0.8604470109872049
HYPOXIA,logdenPT_L_def0,0.317279957932415,perPD1_LOW_Def0,0.7816124853603259
HYPOXIA,logdenPT_L_def2,0.7250528240531949,perPD1_HIGH_Def0,0.8842107610404821
HYPOXIA,logdenPT_L_def4,0.8289631134697379,perPD1_LOW_Def0,0.999304206996271
HYPOXIA,perPT_L_def0,0.44689550069588296,perPD1_LOW_Def0,1
HYPOXIA,perPT_L_def2,0.55402221710386,perPD1_HIGH_Def0,0.9511886791849521
HYPOXIA,perPT_L_def4,0.6072607335757491,perPD1_LOW_Def0,0.9891865560308909
HYPOXIA,perpd1_def0,0.7151858866469809,perPD1_HIGH_Def0,0.9584262216358629
HYPOXIA,perpd1_def2,0.8845120854043691,perPD1_LOW_Def0,0.9614261797873579
HYPOXIA,perpd1_def4,0.7801848488260391,perPD1_LOW_Def0,0.928791486697665
CHOLESTEROL_HOMEOSTASIS,logdenPD1_def0,0.48374878217554496,perPD1_HIGH_Def0,1
CHOLESTEROL_HOMEOSTASIS,logdenPD1_def2,0.544320448641775,perPD1_LOW_Def0,0.890534508161383
CHOLESTEROL_HOMEOSTASIS,logdenPT_L_def0,0.6612196282582861,perPD1_LOW_Def0,0.925656764781747
CHOLESTEROL_HOMEOSTASIS,logdenPT_L_def2,0.670237135118814,perPD1_LOW_Def0,0.8818909672615971
CHOLESTEROL_HOMEOSTASIS,logdenPT_L_def4,0.598112264599434,perPD1_LOW_Def0,0.9962600247532909
CHOLESTEROL_HOMEOSTASIS,perPT_L_def0,0.736373671848132,perPD1_LOW_Def0,1
CHOLESTEROL_HOMEOSTASIS,perPT_L_def2,0.787269334341853,perPD1_LOW_Def0,0.9511886791849521
CHOLESTEROL_HOMEOSTASIS,perPT_L_def4,0.8479095411014991,perPD1_HIGH_Def0,0.9891865560308909
CHOLESTEROL_HOMEOSTASIS,perpd1_def0,0.159287386956124,perPD1_HIGH_Def0,0.7719974663352058
CHOLESTEROL_HOMEOSTASIS,perpd1_def2,0.255887192780325,perPD1_LOW_Def0,0.9118869149729321
CHOLESTEROL_HOMEOSTASIS,perpd1_def4,0.211049945757099,perPD1_LOW_Def0,0.928791486697665
MITOTIC_SPINDLE,logdenPD1_def0,0.6577382407120389,perPD1_HIGH_Def0,1
MITOTIC_SPINDLE,logdenPD1_def2,0.24514116431960398,perPD1_HIGH_Def0,0.8406724017768149
MITOTIC_SPINDLE,logdenPT_L_def0,0.20417616398636101,perPD1_HIGH_Def0,0.7816124853603259
MITOTIC_SPINDLE,logdenPT_L_def2,0.0377542086564441,perPD1_HIGH_Def0,0.26967291897460105
MITOTIC_SPINDLE,logdenPT_L_def4,0.14418741420067002,perPD1_HIGH_Def0,0.956974303282557
MITOTIC_SPINDLE,perPT_L_def0,0.477254415353413,perPD1_HIGH_Def0,1
MITOTIC_SPINDLE,perPT_L_def2,0.325255097498088,perPD1_HIGH_Def0,0.9511886791849521
MITOTIC_SPINDLE,perPT_L_def4,0.7069902723015741,perPD1_HIGH_Def0,0.9891865560308909
MITOTIC_SPINDLE,perpd1_def0,0.8484173099490679,perPD1_HIGH_Def0,0.9584262216358629
MITOTIC_SPINDLE,perpd1_def2,0.740463899002931,perPD1_LOW_Def0,0.9614261797873579
MITOTIC_SPINDLE,perpd1_def4,0.13393771048031802,perPD1_HIGH_Def0,0.928791486697665
WNT_BETA_CATENIN_SIGNALING,logdenPD1_def0,0.14889475423202697,perPD1_HIGH_Def0,1
WNT_BETA_CATENIN_SIGNALING,logdenPD1_def2,0.584142456658989,perPD1_HIGH_Def0,0.890534508161383
WNT_BETA_CATENIN_SIGNALING,logdenPT_L_def0,0.19628221270561497,perPD1_HIGH_Def0,0.7816124853603259
WNT_BETA_CATENIN_SIGNALING,logdenPT_L_def2,0.8774358455486829,perPD1_HIGH_Def0,0.974928717276314
WNT_BETA_CATENIN_SIGNALING,logdenPT_L_def4,0.23647118469301998,perPD1_HIGH_Def0,0.956974303282557
WNT_BETA_CATENIN_SIGNALING,perPT_L_def0,0.38959514552315294,perPD1_HIGH_Def0,1
WNT_BETA_CATENIN_SIGNALING,perPT_L_def2,0.95879387273759,perPD1_HIGH_Def0,0.95879387273759
WNT_BETA_CATENIN_SIGNALING,perPT_L_def4,0.8239463127374,perPD1_HIGH_Def0,0.9891865560308909
WNT_BETA_CATENIN_SIGNALING,perpd1_def0,0.0918937807631791,perPD1_HIGH_Def0,0.7719974663352058
WNT_BETA_CATENIN_SIGNALING,perpd1_def2,0.48887394478755,perPD1_LOW_Def0,0.918931209210788
WNT_BETA_CATENIN_SIGNALING,perpd1_def4,0.169218792933944,perPD1_HIGH_Def0,0.928791486697665
TGF_BETA_SIGNALING,logdenPD1_def0,0.943033454101356,perPD1_HIGH_Def0,1
TGF_BETA_SIGNALING,logdenPD1_def2,0.658995536039423,perPD1_LOW_Def0,0.890534508161383
TGF_BETA_SIGNALING,logdenPT_L_def0,0.45153614263012104,perPD1_LOW_Def0,0.798335398323684
TGF_BETA_SIGNALING,logdenPT_L_def2,0.383499000163887,perPD1_LOW_Def0,0.6848196431497979
TGF_BETA_SIGNALING,logdenPT_L_def4,0.9655370666743409,perPD1_LOW_Def0,0.999304206996271
TGF_BETA_SIGNALING,perPT_L_def0,1.0,perPD1_HIGH_Def0,1
TGF_BETA_SIGNALING,perPT_L_def2,0.531137318077733,perPD1_LOW_Def0,0.9511886791849521
TGF_BETA_SIGNALING,perPT_L_def4,0.11939799507142,perPD1_LOW_Def0,0.9891865560308909
TGF_BETA_SIGNALING,perpd1_def0,0.56636398098746,perPD1_HIGH_Def0,0.9584262216358629
